id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
5338,"69 Catherine Street, Punchbowl",5.0,3,6.0,1980000.0,-34.0382267,151.0948433,2228.0,689.2,2872.896111433546,Sydney,418.05742847782034,1433142.857142857,2541.659936104596
5339,"11 Mulga Place, Kirrawee",4.0,3,2.0,1940000.0,-34.0408059,151.0928057,2228.0,704.6,2753.3352256599487,Sydney,431.5695156730056,1433142.857142857,2541.659936104596
5340,"28 Wolstenholme Avenue, Gymea",3.0,1,4.0,1842000.0,-33.9471548,151.0735086,2209.0,607.0,3034.5963756177925,Sydney,245.78778997004406,1543975.0,3220.5006428511215
5341,"28 Balmoral Crescent, Georges Hall",5.0,3,2.0,1835000.0,-34.0084936,151.016486,2234.0,647.3,2834.85246408157,Sydney,566.9154047697068,1689428.5714285714,2147.99145636582
5342,"30 Chelsea Avenue, Baulkham Hills",3.0,1,1.0,1811000.0,-33.7785823,151.0276213,2151.0,695.0,2605.755395683453,Sydney,411.46383426988086,1729566.6666666667,2476.791556471669
5343,"17 Elliston Place, Barden Ridge",4.0,2,2.0,1800000.0,-33.803779,150.972579,2145.0,648.0,2777.777777777778,Sydney,602.6456228200827,1273604.5647058825,2654.0249105232115
5344,"12 Webb Street, Merrylands",3.0,2,2.0,1660000.0,-33.9185872,151.0539208,2196.0,682.9,2430.809781812857,Sydney,266.2146107648816,1373468.2285714287,2625.117431324748
5345,"101 Seven Hills Road, Baulkham Hills",3.0,2,2.0,1652000.0,-34.021062,151.0722239,2232.0,695.0,2376.978417266187,Sydney,419.7357383521054,1403710.3333333333,2584.750925635483
5346,"8 Turrella Road, Yarrawarrah",5.0,3,2.0,1650000.0,-34.0309471,151.0860393,2227.0,673.0,2451.7087667161964,Sydney,414.8488220290027,1380071.4285714286,2939.2154614674246
5347,"49 Soldiers Road, Jannali",3.0,1,3.0,1610000.0,-33.9113213,150.989969,2198.0,746.0,2158.176943699732,Sydney,499.14148514694597,1348714.2857142857,2597.684019043904
5348,"104 Gooden Drive, Baulkham Hills",4.0,1,1.0,1605000.0,-33.75563,150.9897828,2153.0,739.8,2169.5052716950527,Sydney,609.9524999584644,1564464.6341463414,2325.3876042625266
5349,"15 Doust Street, Bass Hill",3.0,2,6.0,1557000.0,-34.034959,151.009495,2234.0,796.7,1954.311535082214,Sydney,675.3085130601061,1689428.5714285714,2147.99145636582
5350,"4 & 4A Cisticola Street, Hinchinbrook",6.0,3,2.0,1552000.0,-33.825038,150.982332,2160.0,691.0,2246.0202604920405,Sydney,534.2958566799981,1286416.6666666667,2804.419809380923
5351,"30 Belarada Close, Bangor",4.0,2,2.0,1545000.0,-33.7623077,150.992156,2153.0,676.1,2285.1649164324804,Sydney,584.9212669529804,1564464.6341463414,2325.3876042625266
5352,"71 Patrick Street, Blacktown",3.0,1,5.0,1500000.0,-34.0537128,151.0311938,2233.0,657.0,2283.10502283105,Sydney,659.1456208228045,1274607.3170731708,1953.077748786
5353,"27 Bellbird Court, Quakers Hill",4.0,2,2.0,1500000.0,-34.01167155,151.06164211492273,2226.0,706.0,2124.6458923512746,Sydney,422.151308248983,1261875.0,2319.685574043266
5354,"47 Danny Road, Lalor Park",4.0,2,2.0,1490000.0,-33.7628882,150.9736715,2153.0,746.0,1997.319034852547,Sydney,667.3809939149895,1564464.6341463414,2325.3876042625266
5355,"5 Chamberlain Road, Guildford",4.0,1,3.0,1470500.0,-33.8959871,151.0041932,2197.0,714.0,2059.5238095238096,Sydney,428.0793781265406,1265576.923076923,2445.420991598644
5356,"45 Tenella Street, Canley Heights",3.0,1,7.0,1390000.0,-33.9149887,150.8719291,2168.0,676.0,2056.213017751479,Sydney,1159.5252017451683,1146111.8421052631,2181.5286435891912
5357,"64 Earle Street, Doonside",3.0,1,3.0,1350000.0,-34.0126375,151.0245945,2234.0,777.8,1735.6646952944202,Sydney,548.0534813650153,1689428.5714285714,2147.99145636582
5358,"17 Australia Street, Bass Hill",4.0,3,5.0,1350000.0,-33.7770208,150.9039864,2148.0,727.2,1856.4356435643563,Sydney,1016.3981589760275,1183942.2727272727,2230.5377920129836
5359,"70 Worland Street, Yagoona",3.0,2,2.0,1340000.0,-33.7200255,150.886747,2763.0,619.0,2164.7819063004845,Sydney,1261.7428965925,1384225.551020408,3524.740615193046
5360,"104 Walters Road, Blacktown",5.0,3,1.0,1294000.0,-33.7602635,150.928952,2147.0,702.0,1843.3048433048434,Sydney,903.7517293625193,1435547.2972972973,2470.276643171795
5361,"1 Bay Street, Nelson Bay",4.0,2,2.0,1260000.0,-33.8567592,150.9929563,2161.0,765.0,1647.0588235294117,Sydney,469.4957739433441,1517722.2222222222,2638.4810400352053
5362,"14 Saratoga Avenue, Corlette",4.0,2,2.0,1210000.0,-33.8794843,150.9169203,2166.0,695.0,1741.0071942446043,Sydney,856.0004323859542,1391514.705882353,2460.298748448045
5363,"8 Shearer Place, Elderslie",3.0,2,1.0,1027000.0,-33.7611202,150.869855,2767.0,752.5,1364.7840531561462,Sydney,1268.1784735304807,1798530.875,3326.67124765083
5364,"54 Rundle Road, Busby",4.0,1,2.0,990000.0,-33.9013223,151.0059782,2197.0,632.8,1564.4753476611884,Sydney,423.9745435254038,1265576.923076923,2445.420991598644
5365,"16 Tidswell Street, St Marys",3.0,1,2.0,885000.0,-33.9041024,151.0200593,2199.0,600.0,1475.0,Sydney,370.58301982249617,1540000.0,2458.7305269610697
5366,"65 Wallis Avenue, Strathfield",5.0,3,4.0,6000000.0,-33.782701,150.8939353,2148.0,630.0,9523.809523809523,Sydney,1068.6793180709174,1183942.2727272727,2230.5377920129836
5367,"39 Burwood Road, Concord",6.0,4,3.0,3550000.0,-32.7228379,152.1529003,2315.0,632.0,5617.088607594937,Newcastle,1814.3598021650232,1743206.896551724,2839.8291799237977
5368,"122 Kemp Street, Hamilton South",4.0,2,2.0,3350000.0,-32.7278903,152.1218977,2315.0,736.0,4551.630434782609,Newcastle,1571.7271901938761,1743206.896551724,2839.8291799237977
5369,"22 Regency Court, Oatlands",5.0,3,4.0,3100000.0,-34.0559496,150.7123259,2570.0,721.0,4299.5839112343965,Wollongong,1709.5199521097252,1086424.8366013071,2243.33443864011
5370,"33 Townsend Avenue, Frenchs Forest",5.0,3,2.0,2815000.0,-33.9086909,150.8755915,2168.0,705.0,3992.9078014184397,Sydney,1129.5264687506037,1146111.8421052631,2181.5286435891912
5371,"1 Kew Close, Belrose",4.0,2,2.0,2530000.0,-33.7748068,150.7830843,2760.0,689.0,3671.988388969521,Sydney,1904.9454457273014,1167303.2786885246,1919.9047405135568
5372,"9 Woodward Street, Merewether",3.0,1,2.0,2306000.0,-33.8837501,151.079776,2135.0,626.0,3683.70607028754,Sydney,169.99972066010918,1672756.4102564103,2280.185246440808
5373,"5 Cobac Avenue, Eastwood",3.0,2,2.0,2100000.0,-33.8662026,151.1062168,2137.0,690.5,3041.2744388124547,Sydney,106.32892609003002,2116166.6666666665,4665.0264267814155
5375,"21 Fifth Avenue, Condell Park",4.0,2,4.0,2000000.0,-33.7916674,151.0270911,2117.0,765.1,2614.0373807345445,Sydney,391.49521221972077,1476652.75,2867.4674707251515
5376,"15 Salacia Close, St Huberts Island",4.0,2,2.0,1950000.0,-33.747614,151.206514,2086.0,666.0,2927.927927927928,Sydney,146.93808392000463,1540533.3333333333,1768.7925692541219
5377,"37 Marsden Street, Kiama",3.0,1,1.0,1700000.0,-33.73315,151.21354,2085.0,799.0,2127.659574468085,Sydney,184.18900099999377,1795133.3333333333,2662.8129492581297
5378,"8 Liebig Place, Minto",7.0,3,4.0,1690000.0,-32.9475481,151.7438569,2291.0,696.0,2428.1609195402298,Newcastle,16.626621312197887,1969409.0909090908,4226.754407812862
