id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
7,"""Garrit"" 27 Garryowen Rd, Binalong, NSW 2584",5,2,2,1.96ha,House,"$785,000"
7,"1/52 Glider Avenue, Blackbutt, NSW 2529",2,2,2,,Duplex/semi-detached,"$782,000"
7,"2 Lorn Street, Lorn, NSW 2320",4,1,4,326.9m²,House,"$770,000"
7,"12 Woodside Avenue, Singleton, NSW 2330",5,2,2,649m²,House,"$768,000"
7,"1/314 River Street, Ballina, NSW 2478",3,2,2,,Duplex/semi-detached,"$750,000"
7,"44A Corks Lane, Milton, NSW 2538",4,2,1,308m²,House,"$745,000"
7,"8 Judith Street, Gorokan, NSW 2263",2,1,2,594m²,House,"$730,000"
7,"36 James Scott Crescent, Lemon Tree Passage, NSW 2319",3,1,1,538m²,House,"$730,000"
7,"16 Bangalay Street, Queanbeyan, NSW 2620",3,1,1,648m²,House,"$720,000"
7,"24 Durham Street, Clarence Town, NSW 2321",3,2,2,"1,017m²",House,"$717,000"
7,"12 Moore Street, Mudgee, NSW 2850",4,2,2,450m²,House,"$710,000"
7,"4 Hughes Street, Orange, NSW 2800",3,2,3,886m²,House,"$705,000"
7,"17 Threlkeld Drive, Bolton Point, NSW 2283",4,1,,650m²,House,"$700,000"
7,"6 Cedar Street, Woodburn, NSW 2472",3,1,4,906m²,House,"$693,000"
7,"45 Belbowrie Parade, Maloneys Beach, NSW 2536",4,2,1,651m²,House,"$690,000"
7,"8 Willow Way, Yamba, NSW 2464",3,1,1,570.9m²,House,"$640,000"
7,"31 Buckenbowra Road, Mogo, NSW 2536",3,1,,910m²,House,"$610,000"
7,"384 Silver City Highway, Wentworth, NSW 2648",4,1,1,"5,037m²",House,"$600,000"
7,"13 Bayonet Street, Lithgow, NSW 2790",3,1,1,385.7m²,House,"$585,000"
7,"16a Moon Street, Wingham, NSW 2429",4,1,3,699m²,House,"$565,000"
7,"19 Gardner Avenue, Lismore, NSW 2480",3,1,1,538m²,House,"$560,000"
7,"13 Pimpala Place, Orange, NSW 2800",3,1,1,791m²,House,"$496,000"
8,"10 Duri Road, Tamworth, NSW 2340",3,2,2,714m²,House,"$435,000"
8,"96/3 Lincoln Road, Port Macquarie, NSW 2444",2,1,2,,House,"$433,000"
8,"1600 Old Adcocks Road, Tocumwal, NSW 2714",3,1,2,"8,438m²",Acreage,"$430,000"
8,"12 Sauvignon Drive, Corowa, NSW 2646",2,2,3,936m²,House,"$404,500"
8,"49/437 Wards Hill Road, Empire Bay, NSW 2257",1,1,1,,House,"$270,000"
8,"11A Wiggins Avenue, Beverly Hills, NSW 2209",5,4,4,401.2m²,House,"$3,080,000"
8,"6 Pacey Ave, North Ryde, NSW 2113",5,4,2,,Duplex/semi-detached,"$2,650,000"
8,"29 Northcote Street, Coledale, NSW 2515",4,2,2,405m²,House,"$2,650,000"
8,"12 Camden Gardens, Turramurra, NSW 2074",5,4,2,929m²,House,"$2,645,000"
8,"2 Sherwood Place, North Ryde, NSW 2113",4,2,2,,House,"$2,270,000"
8,"86 Border Street, Eraring, NSW 2264",6,4,10,"9,196m²",Acreage,"$2,250,000"
8,"18 Avril Court, Kellyville, NSW 2155",5,2,5,642m²,House,"$2,100,000"
8,"10-12 Purvines Road, Yellow Rock, NSW 2777",5,2,2,1.1ha,House,"$2,060,000"
8,"6 Ramillies Way, Beaumont Hills, NSW 2155",4,2,2,553m²,House,"$2,055,000"
8,"4922 Gundaroo Road, Bellmount Forest, NSW 2581",4,2,3,110.8ha,House,"$2,000,000"
8,"4 Sirius Street, Dundas Valley, NSW 2117",5,4,2,,Duplex/semi-detached,"$1,980,000"
8,"7 Mount Street, West Ryde, NSW 2114",3,2,2,649m²,House,"$1,975,000"
