index,lat,lon,postcode
4008,-31.956982,152.5864499,2430
66,-33.7833573,150.6795505,2745
7949,-31.1195409,150.8988937,2340
4009,-33.0232842,151.6715008,2280
7950,-32.8617976,151.3169992,2325
67,-33.7926836,150.9181616,2148
4010,-28.860045,153.534991,2478
7951,-31.9185415,152.4403581,2430
68,-33.97242,150.808589,2179
4011,-33.244033,149.096616,2800
7952,-29.4647359,153.2168122,2463
69,-33.9700674,150.870665,2565
7953,-33.7107329,149.8595891,2787
4012,-32.54147,151.175048,2330
70,-28.8068504,153.5847983,2478
7954,-34.0239988,150.7199076,2567
4013,-29.6710707,152.9441735,2460
7955,-33.735231,151.064922,2120
71,-33.911082,150.824454,2179
4014,-31.1312694,150.9574067,2340
72,-33.9164729,150.8732436,2168
7956,-34.190719,150.9817922,2508
4015,-35.3662118,149.2246176,2620
73,-28.2158187,153.5211877,2486
7957,-32.5978315,149.6008838,2850
4016,-35.3709852,149.2245372,2620
74,-33.7823228,150.8355985,2766
4017,-32.9940668,151.6082546,2283
7958,-33.493962999999994,150.1234841061396,2790
75,-34.0990551,150.805221,2560
4018,-32.8388211,151.3703705,2325
7959,-33.406636,149.5474417,2795
76,-32.7849458,151.6463967,2322
4019,-35.7080364,150.247408,2536
7960,-32.859364,151.397439,2325
77,-32.7041246,151.5278699,2320
4020,-32.2550728,150.894185,2333
7961,-32.2552717,148.616103,2830
78,-33.0831841,151.501885,2264
4021,-35.153636,147.3742399,2650
7962,-33.3545826,149.9909611,2847
79,-33.9767481,151.2367331,2036
4022,-35.1031478,150.6244324,2540
7963,-32.9691399,151.654955,2282
80,-33.975404749999996,150.86951900178224,2565
4023,-32.7200148,151.5245794,2320
81,-33.7892097,151.2843739,2095
7964,-35.3680729,149.2087914,2620
4024,-31.8684776,152.3655384,2429
82,-33.951864,151.1203741,2207
7965,-33.5965934,150.7504109,2753
4025,-33.305808999999996,149.11300016206553,2800
83,-34.0297726,151.0702854,2232
7966,-33.0029841,151.6100292,2283
4026,-31.0988049,150.9069154,2340
84,-33.93022035,151.11832624461783,2206
7967,-32.6579914,151.3467588,2335
4027,-33.7066902,150.9631555,2155
7968,-28.6502609,153.6116938,2481
85,-33.8913657,151.1290478,2131
4028,-33.804971,151.101365,2114
7969,-33.0484139,151.6142532,2283
86,-33.8740486,150.9676493,2165
4029,-33.7285585,150.9383419,2768
7970,-34.2199358,150.9815219,2508
